交易日期,市場名稱,成交頭數-總數,成交頭數-平均重量,成交頭數-平均價格,規格豬(75公斤以上)-頭數,規格豬(75公斤以上)-平均重量,規格豬(75公斤以上)-平均價格,75公斤以下-頭數,75公斤以下-平均重量,75公斤以下-平均價格,75(含)-95(不含)-頭數,75(含)-95(不含)-平均重量,75(含)-95(不含)-平均價格,95(含)-115(含)-頭數,95(含)-115(含)-平均重量,95(含)-115(含)-平均價格,115(含)-135(不含)-頭數,115(含)-135(不含)-平均重量,115(含)-135(不含)-平均價格,135(含)-155(不含)-頭數,135(含)-155(不含)-平均重量,135(含)-155(不含)-平均價格,155公斤以上-頭數,155公斤以上-平均重量,155公斤以上-平均價格,淘汰種豬-頭數,淘汰種豬-平均重量,淘汰種豬-平均價格,其他豬-頭數,其他豬-平均重量,其他豬-平均價格,冷凍廠-頭數,冷凍廠-平均重量,冷凍廠-平均價格,成交總數(不含冷凍廠)-頭數,成交總數(不含冷凍廠)-平均重量,成交總數(不含冷凍廠)-平均價格
1110207,花蓮縣,446,133.32,81.02,444,133.51,81.11,0,0.00,0.00,2,90.50,50.20,48,110.31,78.44,215,126.70,82.19,144,143.69,81.32,37,163.54,77.90,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,446,133.32,81.02
1110207,屏東縣,1359,119.17,70.85,1253,121.14,71.83,3,70.00,52.12,53,87.07,61.23,419,107.86,71.25,666,124.33,72.21,168,141.60,71.60,8,163.06,66.95,8,161.37,63.04,34,80.76,39.70,371,120.08,68.81,988,118.83,71.62
1110207,高雄鳳山,1658,128.24,71.30,1571,128.07,71.53,0,0.00,0.00,3,91.53,63.90,212,109.97,69.79,902,125.34,71.73,457,141.85,71.81,27,159.93,68.24,0,0.00,0.00,57,119.94,66.82,525,127.47,67.14,1133,128.60,73.21
1110207,高雄岡山,1311,125.29,74.13,1259,124.74,74.34,2,63.80,16.27,15,91.00,62.64,309,107.90,73.05,668,124.90,74.35,282,142.80,75.39,35,163.50,72.34,0,0.00,0.00,0,0.00,0.00,408,124.30,70.56,903,125.74,75.72
1110207,高雄市,929,122.80,68.21,908,123.14,68.49,1,69.50,17.01,3,90.33,56.47,182,109.34,68.49,621,124.39,68.76,105,139.68,67.03,1,156.00,56.60,0,0.00,0.00,16,110.78,55.93,397,124.73,65.65,532,121.36,70.18
1110207,臺南市,528,122.84,79.93,501,122.48,79.89,0,0.00,0.00,0,0.00,0.00,113,110.13,82.45,338,123.83,79.59,50,141.22,77.14,1,174.00,75.80,3,167.00,68.52,23,122.85,83.23,0,0.00,0.00,528,122.84,79.93
1110207,臺南安南,1494,122.59,70.84,1461,123.51,71.15,13,58.81,24.64,18,89.11,62.60,312,108.82,70.38,960,124.93,71.47,189,140.58,70.72,1,156.50,70.20,1,175.00,25.00,0,0.00,0.00,289,126.46,65.78,1205,121.67,72.10
1110207,雲林縣,3004,118.63,70.79,2753,120.30,71.58,0,0.00,0.00,141,88.67,66.21,967,108.03,71.82,1476,123.96,71.91,310,141.11,69.64,25,163.56,62.31,0,0.00,0.00,85,101.09,51.14,784,119.16,66.19,2220,118.44,72.43
1110207,嘉義縣,1014,119.64,72.06,948,121.70,72.37,0,0.00,0.00,42,88.00,73.20,315,107.60,73.10,502,125.20,72.70,131,142.20,69.90,0,0.00,0.00,0,0.00,0.00,24,93.40,54.50,218,128.90,68.20,796,117.10,73.22
1110207,嘉義市,974,125.34,69.53,962,125.33,69.72,1,71.40,30.00,2,90.80,61.81,185,109.86,68.57,578,124.90,69.87,199,140.96,70.16,5,167.64,59.09,0,0.00,0.00,4,105.55,47.21,227,127.40,66.06,747,124.71,70.61
1110207,南投縣,2777,123.27,72.81,2684,123.24,73.20,0,0.00,0.00,20,90.70,67.50,695,108.94,73.73,1554,124.43,73.40,435,141.86,71.92,19,161.18,69.68,0,0.00,0.00,54,123.28,56.45,600,126.33,67.55,2177,122.43,74.31
1110207,彰化縣,2503,120.90,70.79,2386,121.45,71.18,7,61.36,38.62,49,90.52,66.07,715,108.38,71.49,1409,124.47,71.34,262,140.85,69.77,17,161.82,63.07,3,176.67,55.48,41,114.73,60.36,353,125.38,67.96,2150,120.17,71.27
1110207,台中大安,1987,123.17,72.30,1924,122.62,72.64,0,0.00,0.00,9,90.20,64.98,532,108.20,72.25,1105,124.40,72.77,287,142.50,72.77,14,157.50,69.56,20,169.30,65.56,20,120.60,53.56,276,124.80,66.22,1711,122.91,73.30
1110207,苗栗縣,590,136.84,81.15,566,137.18,81.51,0,0.00,0.00,3,92.33,66.42,59,109.43,77.34,198,126.52,77.43,229,144.47,83.21,80,163.18,87.07,0,0.00,0.00,21,134.00,72.68,40,122.88,66.30,550,137.86,82.11
1110207,桃園市,2950,131.29,74.07,2732,128.64,74.07,0,0.00,0.00,6,92.10,58.00,393,108.40,69.20,1412,125.10,73.20,927,142.60,76.80,204,166.10,75.30,8,180.00,52.00,0,0.00,0.00,444,126.25,65.67,2506,132.18,75.49
1110207,新竹縣,754,137.23,75.76,718,136.43,76.72,0,0.00,0.00,1,91.00,73.60,69,109.40,72.61,307,125.80,75.59,241,143.80,79.02,101,169.60,76.42,7,224.60,42.55,28,137.60,64.97,139,128.40,65.47,615,139.22,77.90
1110207,宜蘭縣,471,127.66,83.36,469,127.81,83.48,0,0.00,0.00,2,93.00,44.65,68,110.41,81.21,282,125.87,84.48,109,140.76,83.11,10,159.60,75.65,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,471,127.66,83.36
1110207,新北市,3321,130.03,69.59,3182,128.59,70.06,1,70.80,18.21,12,91.13,60.60,374,108.75,68.09,1854,125.76,70.15,954,141.87,70.51,126,170.43,61.15,0,0.00,0.00,0,0.00,0.00,403,128.81,60.72,2918,130.19,70.80
1110206,宜蘭縣,378,132.38,83.06,378,132.38,83.06,0,0.00,0.00,0,0.00,0.00,39,110.14,81.92,179,126.58,83.69,142,142.43,83.28,18,158.86,78.30,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,378,132.38,83.06
1110130,花蓮縣,485,130.69,79.76,485,130.69,79.76,0,0.00,0.00,0,0.00,0.00,68,110.28,76.25,261,126.51,80.06,135,143.48,81.12,21,166.52,76.85,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,485,130.69,79.76
1110130,台東縣,388,121.76,80.06,383,121.83,80.19,0,0.00,0.00,3,92.67,71.05,104,109.02,79.51,241,124.38,80.51,38,140.71,79.81,0,0.00,0.00,2,152.25,69.00,0,0.00,0.00,0,0.00,0.00,388,121.76,80.06
1110130,屏東縣,910,123.12,74.48,829,123.26,75.85,0,0.00,0.00,21,89.00,63.00,246,107.22,73.49,424,125.46,76.94,159,142.21,76.04,30,164.01,69.00,6,128.41,58.27,24,95.69,39.98,0,0.00,0.00,910,123.12,74.48
1110130,高雄旗山,121,124.94,83.86,121,124.94,83.86,0,0.00,0.00,0,0.00,0.00,18,110.61,78.48,87,125.09,84.19,16,140.25,87.04,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,121,124.94,83.86
1110130,高雄鳳山,351,124.29,89.67,348,124.35,89.77,0,0.00,0.00,1,92.60,86.00,73,110.30,88.93,218,124.63,90.02,57,141.25,89.74,0,0.00,0.00,0,0.00,0.00,2,131.20,75.67,0,0.00,0.00,351,124.29,89.67
1110130,高雄岡山,668,120.40,79.27,598,123.57,80.69,4,71.30,31.88,59,87.20,62.28,141,108.30,78.52,362,124.60,81.41,95,142.30,80.73,7,157.80,75.41,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,668,120.40,79.27
1110130,高雄市,312,117.18,83.99,306,117.36,84.10,0,0.00,0.00,2,93.50,76.41,134,107.55,85.44,152,122.93,83.01,20,140.75,84.46,0,0.00,0.00,0,0.00,0.00,4,115.63,78.72,0,0.00,0.00,312,117.18,83.99
1110130,臺南市,497,121.25,76.98,467,121.02,77.53,0,0.00,0.00,7,91.07,75.77,171,108.23,77.66,239,124.84,77.57,57,143.36,77.08,10,161.35,76.86,2,164.25,72.80,11,106.05,52.19,0,0.00,0.00,497,121.25,76.98
1110130,臺南安南,796,121.22,87.20,776,121.61,87.61,5,50.00,10.00,8,86.63,82.65,206,109.77,87.78,511,124.24,87.33,59,140.19,89.24,5,162.10,84.38,2,184.25,50.39,0,0.00,0.00,0,0.00,0.00,796,121.22,87.20
1110130,雲林縣,1300,115.54,77.19,1201,117.03,78.30,0,0.00,0.00,64,90.63,65.33,512,107.35,76.94,638,122.94,79.40,51,140.33,76.78,3,166.67,75.81,0,0.00,0.00,32,104.69,51.30,0,0.00,0.00,1300,115.54,77.19
1110130,嘉義縣,608,112.10,80.41,541,115.42,81.47,0,0.00,0.00,57,86.30,72.40,284,106.60,81.30,224,122.70,82.60,33,141.90,75.90,0,0.00,0.00,0,0.00,0.00,10,79.70,47.10,0,0.00,0.00,608,112.10,80.41
